Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
42,37,1/13/18,22-313,LAL,@,DAL,W (+6),0,12:06,1,2,0.5,0,1,0,0,0,,0,2,2,0,1,0,1,4,2,0,-2
43,38,1/15/18,22-315,LAL,@,MEM,L (-9),1,31:45:00,5,10,0.5,2,6,0.333,4,4,1,0,3,3,1,1,1,0,1,16,13.9,1
44,39,1/17/18,22-317,LAL,@,OKC,L (-24),0,26:27:00,3,8,0.375,3,6,0.5,0,0,,0,3,3,2,2,0,0,1,9,8.5,-19
45,40,1/19/18,22-319,LAL,,IND,W (+13),1,32:54:00,4,8,0.5,1,4,0.25,0,0,,0,5,5,1,0,0,3,2,9,3.4,5
46,41,1/21/18,22-321,LAL,,NYK,W (+20),1,17:02,0,1,0,0,1,0,0,0,,0,0,0,0,0,1,0,3,0,-1.2,-2
47,42,1/23/18,22-323,LAL,,BOS,W (+1),0,23:06,2,4,0.5,0,2,0,0,2,0,1,1,2,1,0,0,0,1,4,2.5,7
48,43,1/26/18,22-326,LAL,@,CHI,W (+5),0,22:50,1,2,0.5,1,2,0.5,2,4,0.5,0,3,3,1,0,0,0,0,5,4.8,-17
49,44,1/28/18,22-328,LAL,@,TOR,L (-12),0,13:32,0,1,0,0,1,0,0,2,0,1,1,2,0,0,0,1,0,0,-1.5,-14
50,45,1/31/18,22-331,LAL,@,ORL,L (-22),0,13:53,1,2,0.5,1,2,0.5,0,0,,0,1,1,2,0,0,0,0,3,3.7,-6
51,46,2/2/18,22-333,LAL,@,BRK,W (+3),1,34:48:00,5,8,0.625,3,6,0.5,2,4,0.5,3,11,14,2,1,0,0,2,15,17.6,0
52,47,2/4/18,22-335,LAL,@,OKC,W (+4),1,39:11:00,5,6,0.833,2,3,0.667,2,2,1,1,10,11,2,2,0,2,1,14,16.5,7
53,48,2/6/18,22-337,LAL,,PHO,W (+19),1,31:02:00,5,7,0.714,3,4,0.75,2,2,1,2,9,11,3,1,1,1,4,15,17.4,15
54,49,2/8/18,22-339,LAL,,OKC,W (+25),1,32:52:00,4,9,0.444,2,5,0.4,0,0,,1,7,8,5,1,1,3,2,10,9.5,8
55,50,2/10/18,22-341,LAL,@,DAL,L (-7),1,29:06:00,3,7,0.429,3,6,0.5,0,0,,0,2,2,1,0,0,1,2,9,4.8,-8
56,51,2/14/18,22-345,LAL,@,NOP,L (-22),1,31:15:00,5,6,0.833,3,3,1,2,3,0.667,1,5,6,2,2,1,2,1,15,16.3,-22
57,52,2/15/18,22-346,LAL,@,MIN,L (-8),1,31:18:00,4,10,0.4,0,3,0,0,0,,1,3,4,0,1,0,0,3,8,4,-10
58,53,2/23/18,22-354,LAL,,DAL,W (+22),1,33:40:00,5,13,0.385,1,5,0.2,1,2,0.5,2,8,10,2,1,0,1,1,12,9.3,24
59,54,2/24/18,22-355,LAL,@,SAC,W (+5),1,30:58:00,3,10,0.3,2,4,0.5,2,2,1,3,3,6,5,1,0,1,1,10,10.3,4
60,55,2/26/18,22-357,LAL,@,ATL,W (+19),1,27:09:00,5,9,0.556,3,6,0.5,1,2,0.5,0,2,2,0,0,0,1,4,14,7.3,1
61,,3/1/18,22-360,LAL,@,MIA,W (+18),Inactive,,,,,,,,,,,,,,,,,,,,,
62,,3/3/18,22-362,LAL,@,SAS,W (+4),Inactive,,,,,,,,,,,,,,,,,,,,,
63,,3/5/18,22-364,LAL,,POR,L (-5),Inactive,,,,,,,,,,,,,,,,,,,,,
64,,3/7/18,23-001,LAL,,ORL,W (+1),Inactive,,,,,,,,,,,,,,,,,,,,,
65,,3/9/18,23-003,LAL,@,DEN,L (-9),Inactive,,,,,,,,,,,,,,,,,,,,,
66,,3/11/18,23-005,LAL,,CLE,W (+14),Inactive,,,,,,,,,,,,,,,,,,,,,
67,,3/13/18,23-007,LAL,,DEN,W (+9),Inactive,,,,,,,,,,,,,,,,,,,,,
68,,3/14/18,23-008,LAL,@,GSW,L (-11),Inactive,,,,,,,,,,,,,,,,,,,,,
69,,3/16/18,23-010,LAL,,MIA,L (-1),Inactive,,,,,,,,,,,,,,,,,,,,,
70,,3/19/18,23-013,LAL,@,IND,L (-10),Inactive,,,,,,,,,,,,,,,,,,,,,
71,,3/22/18,23-016,LAL,@,NOP,L (-3),Inactive,,,,,,,,,,,,,,,,,,,,,
72,,3/24/18,23-018,LAL,@,MEM,W (+7),Inactive,,,,,,,,,,,,,,,,,,,,,
73,,3/26/18,23-020,LAL,@,DET,L (-6),Inactive,,,,,,,,,,,,,,,,,,,,,
74,,3/28/18,23-022,LAL,,DAL,W (+10),Inactive,,,,,,,,,,,,,,,,,,,,,
75,56,3/30/18,23-024,LAL,,MIL,L (-2),0,34:55:00,5,10,0.5,1,5,0.2,2,2,1,2,11,13,0,0,1,1,3,13,11.2,-9
76,57,4/1/18,23-026,LAL,,SAC,L (-1),0,26:06:00,2,8,0.25,1,5,0.2,0,0,,2,1,3,4,0,0,0,3,5,3.5,4
77,58,4/3/18,23-028,LAL,@,UTA,L (-7),0,35:18:00,3,4,0.75,2,3,0.667,3,4,0.75,0,4,4,3,2,1,1,3,11,12.8,5
78,59,4/4/18,23-029,LAL,,SAS,W (+10),0,33:34:00,2,7,0.286,0,2,0,4,6,0.667,1,9,10,2,1,0,2,3,8,5.7,19
79,60,4/6/18,23-031,LAL,,MIN,L (-17),0,32:09:00,6,12,0.5,3,6,0.5,5,7,0.714,1,10,11,0,0,0,3,1,20,13.5,-10
80,61,4/8/18,23-033,LAL,,UTA,L (-15),1,41:02:00,10,18,0.556,2,8,0.25,3,4,0.75,2,2,4,1,2,2,2,2,25,19.3,-9
81,62,4/10/18,23-035,LAL,,HOU,L (-6),1,39:39:00,8,17,0.471,2,8,0.25,2,2,1,0,7,7,0,2,0,1,2,20,13.6,-9
82,63,4/11/18,23-036,LAL,@,LAC,W (+15),1,35:53:00,9,15,0.6,7,9,0.778,5,5,1,1,4,5,5,1,0,2,2,30,26.7,9
